name,location,link,tags,description
Tucson Audubon Society,"Tucson, AZ",tucsonaudubon.org,"Habitat Restoration, Native Plants, Hummingbirds, Community Science, Conservation","Tucson Audubon restores habitat and promotes native plants that support birds, butterflies, bees, and other wildlife throughout southern Arizona."
Desert Survivors Native Plant Nursery,"Tucson, AZ",desertsurvivors.org,"Native Plants, Pollinator Habitat, Community Employment, Conservation, Education","Desert Survivors grows Sonoran Desert native plants and promotes water-wise habitats that support local bees, butterflies, hummingbirds, and other wildlife."
Southern Nevada Beekeepers Association,"Las Vegas, NV",southernnevadabeekeepers.com,"Honey Bees, Beekeeping, Education, Mentorship, Hive Health","Southern Nevada Beekeepers Association connects local beekeepers through meetings, education, and practical support for managing colonies in the Mojave Desert."
Springs Preserve,"Las Vegas, NV",springspreserve.org,"Botanical Garden, Desert Pollinators, Native Plants, Sustainability, Education","Springs Preserve maintains desert gardens, trails, and educational exhibits that can support pollinator observation, environmental sensing, and youth STEM outreach."
"University of Nevada, Reno Extension — Clark County","Las Vegas, NV",extension.unr.edu/county.aspx?county=Clark,"Pollinator Education, Master Gardeners, Desert Landscaping, Agriculture, Community Outreach","UNR Extension provides local programs and science-based resources about gardening, insects, native plants, and pollinator-friendly landscaping in southern Nevada."
Red Rock Audubon Society,"Las Vegas, NV",redrockaudubon.com,"Native Plants, Habitat Conservation, Hummingbirds, Community Science, Education","Red Rock Audubon protects southern Nevada habitat and promotes native landscapes that support birds, butterflies, bees, and other pollinating wildlife."
Clark County Wetlands Park,"Las Vegas, NV",wetlandspark.com,"Habitat Restoration, Native Plants, Environmental Education, Community Science, Wildlife","Clark County Wetlands Park protects desert wetland habitat and offers educational and volunteer programs involving plants, insects, birds, and ecological monitoring."
Las Vegas Natural History Museum,"Las Vegas, NV",lvnhm.org,"Natural History, Insect Education, Museum Outreach, Biodiversity, Youth Programs","Las Vegas Natural History Museum provides science education and exhibits that can support insect identification, conservation technology, and interactive outreach projects."
Get Outdoors Nevada,"Las Vegas, NV",getoutdoorsnevada.org,"Habitat Restoration, Native Plants, Volunteering, Environmental Education, Community Projects","Get Outdoors Nevada organizes stewardship and outdoor education projects, creating opportunities for habitat restoration, mapping, and pollinator monitoring."
Nevada Garden Clubs,"Las Vegas, NV",nevadagardenclubs.org,"Pollinator Gardens, Native Plants, Community Education, Gardening, Conservation","Nevada Garden Clubs supports local garden clubs and conservation projects, including pollinator-friendly planting and public gardening education across southern Nevada."
