Organization,Location,ZIP Code,Website,Tags,Description,Cooperative Extension?,URL Audit Status,URL Audit Notes
Penn State Extension — Schuylkill County,"Pottsville, PA",17901,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Schuylkill County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Schuylkill County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Cornell Cooperative Extension — Dutchess County,"Poughkeepsie, NY",12601,cce.cornell.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Cornell Cooperative Extension — Dutchess County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Dutchess County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Powhatan County,"Powhatan, VA",23139,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Powhatan County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Powhatan County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UW-Madison Division of Extension — Crawford County,"Prairie du Chien, WI",53821,extension.wisc.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UW-Madison Division of Extension — Crawford County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Crawford County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Waller County,"Prairie View, TX",77446,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Waller County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Waller County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Pratt County,"Pratt, KS",67124,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Pratt County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pratt County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Alabama Cooperative Extension System — Autauga County,"Prattville, AL",36066,aces.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Alabama Cooperative Extension System — Autauga County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Autauga County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Jefferson Davis County,"Prentiss, MS",39474,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Jefferson Davis County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jefferson Davis County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arizona Cooperative Extension — Yavapai County,"Prescott Valley, AZ",86327,extension.arizona.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arizona Cooperative Extension — Yavapai County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Yavapai County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Arkansas Cooperative Extension Service — Nevada County,"Prescott, AR",71857,uaex.uada.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Arkansas Cooperative Extension Service — Nevada County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Nevada County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Presidio County,"Presidio, TX",79845,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Presidio County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Presidio County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Maine Cooperative Extension — Aroostook County,"Presque Isle, ME",04769,extension.umaine.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Maine Cooperative Extension — Aroostook County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Aroostook County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Webster County,"Preston, GA",31824,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Webster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Webster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Idaho Extension — Franklin County,"Preston, ID",83263,uidaho.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Idaho Extension — Franklin County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Franklin County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Floyd County,"Prestonsburg, KY",41653,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Floyd County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Floyd County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Utah State University Extension — Carbon County,"Price, UT",84501,extension.usu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Utah State University Extension — Carbon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carbon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Maryland Extension — Somerset County,"Princess Anne, MD",21853,extension.umd.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Maryland Extension — Somerset County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Somerset County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Bureau County,"Princeton, IL",61356,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Bureau County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Bureau County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Purdue Extension — Gibson County,"Princeton, IN",47670,extension.purdue.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Purdue Extension — Gibson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gibson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Caldwell County,"Princeton, KY",42445,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Caldwell County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Caldwell County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Mille Lacs County,"Princeton, MN",55371,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Mille Lacs County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mille Lacs County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Mercer County,"Princeton, MO",64673,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Mercer County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mercer County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oregon State University Extension — Crook County,"Prineville, OR",97754,extension.oregonstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oregon State University Extension — Crook County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Crook County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Kentucky Cooperative Extension Service — Webster County,"Providence, KY",42450,extension.ca.uky.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Kentucky Cooperative Extension Service — Webster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Webster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Audubon Society of Rhode Island,"Providence, RI",02903,asri.org,"Native Plants, Pollinator Habitat, Conservation, Environmental Education",Audubon Society of Rhode Island protects habitats and offers environmental education and volunteer programs that support native biodiversity and pollinators.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Providence Parks Urban Wildlife Refuge Partnership,"Providence, RI",02903,providenceparks.org,"Native Plants, Conservation, Environmental Education, Community Science",Providence Parks supports urban habitat restoration and education projects that can include native pollinator gardens and biodiversity monitoring.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Rhode Island Beekeepers Association,"Providence, RI",02903,ribeekeeper.org,"Beekeeping, Environmental Education","Rhode Island Beekeepers Association provides education, mentoring, and support for beekeepers across the Providence region and statewide.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Rhode Island Wild Plant Society,"Providence, RI",02903,riwps.org,"Native Plants, Pollinator Habitat, Conservation, Environmental Education","Rhode Island Wild Plant Society promotes native flora through education, plant sales, field activities, and habitat conservation.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Roger Williams Park Botanical Center,"Providence, RI",02903,providenceri.gov/botanical-center,"Environmental Education, Gardening & Agriculture",The Botanical Center maintains extensive gardens and offers public education that can support pollinator monitoring and garden-based STEM outreach.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Roger Williams Park Zoo,"Providence, RI",02903,rwpzoo.org,"Pollinator Habitat, Conservation, Environmental Education, Youth & STEM Education",Roger Williams Park Zoo provides conservation and youth education programs and maintains landscaped habitats suitable for pollinator outreach.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Southside Community Land Trust,"Providence, RI",02903,southsideclt.org,"Pollinator Habitat, Habitat Restoration, Conservation, Environmental Education","Southside Community Land Trust supports community gardens and urban farms throughout Providence, offering hands-on opportunities for pollinator and garden technology projects.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
URI Master Gardener Program,"Providence, RI",02903,web.uri.edu/coopext/programs/mgp,"Cooperative Extension, Native Plants, Environmental Education, Gardening & Agriculture","URI Master Gardeners provide research-based education on sustainable gardening, pollinator habitat, and native plants across Rhode Island.",TRUE,Corrected,web.uri.edu/mastergardener → web.uri.edu/coopext/programs/mgp. Old URI Master Gardener URL redirects to the current program page.
Utah State University Extension — Utah County,"Provo, UT",84604,extension.usu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Utah State University Extension — Utah County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Utah County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Oklahoma State University Extension — Mayes County,"Pryor Creek, OK",74361,extension.okstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Oklahoma State University Extension — Mayes County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Mayes County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Colorado State University Extension — Pueblo County,"Pueblo, CO",81004,extension.colostate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Colorado State University Extension — Pueblo County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pueblo County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WSU Extension — Wahkiakum County,"Puget Island, WA",98612,extension.wsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WSU Extension — Wahkiakum County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wahkiakum County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UT Extension — Giles County,"Pulaski, TN",38478,utextension.tennessee.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UT Extension — Giles County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Giles County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Pulaski County,"Pulaski, VA",24301,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Pulaski County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pulaski County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WSU Extension — Whitman County,"Pullman, WA",99163,extension.wsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WSU Extension — Whitman County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Whitman County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UF/IFAS Extension — Charlotte County,"Punta Gorda, FL",33955,sfyl.ifas.ufl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UF/IFAS Extension — Charlotte County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Charlotte County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Jefferson County,"Punxsutawney, PA",15767,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Jefferson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jefferson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Hardeman County,"Quanah, TX",79252,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Hardeman County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hardeman County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Prince William County,"Quantico Base, VA",22134,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Prince William County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Prince William County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Missouri Extension — Schuyler County,"Queen City, MO",63561,extension.missouri.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Missouri Extension — Schuyler County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Schuyler County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UF/IFAS Extension — Gadsden County,"Quincy, FL",32351,sfyl.ifas.ufl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UF/IFAS Extension — Gadsden County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gadsden County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Illinois Extension — Adams County,"Quincy, IL",62301,extension.illinois.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Illinois Extension — Adams County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Adams County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UMass Extension — Norfolk County,"Quincy, MA",02169,ag.umass.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UMass Extension — Norfolk County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Norfolk County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Gove County,"Quinter, KS",67752,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Gove County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Gove County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UGA Cooperative Extension — Brooks County,"Quitman, GA",31643,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Brooks County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Brooks County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Clarke County,"Quitman, MS",39355,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Clarke County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Clarke County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UW-Madison Division of Extension — Racine County,"Racine, WI",53405,extension.wisc.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UW-Madison Division of Extension — Racine County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Racine County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Radford County,"Radford, VA",24142,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Radford County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Radford County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NC Cooperative Extension — Hoke County,"Raeford, NC",28376,ces.ncsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NC Cooperative Extension — Hoke County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Hoke County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UF/IFAS Extension — Union County,"Raiford, FL",32083,sfyl.ifas.ufl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UF/IFAS Extension — Union County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Union County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Bee Downtown,"Raleigh, NC",27617,beedowntown.com,"Beekeeping, Environmental Education",Raleigh-based Bee Downtown manages urban and corporate hives and uses beekeeping education and hive data to connect organizations with pollinator conservation.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
City of Raleigh Wildlife and Pollinator Program,"Raleigh, NC",27617,raleighnc.gov/parks-and-recreation/services/pollinator-protection-projects/wildlife-and-pollinator-program,"Native Plants, Pollinator Habitat, Environmental Education","Raleigh's Wildlife and Pollinator Program creates habitat, distributes native plants, coordinates volunteers, and educates residents about bees, butterflies, and other pollinators.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
JC Raulston Arboretum,"Raleigh, NC",27617,jcra.ncsu.edu,"Environmental Education, Community Science, Gardening & Agriculture",JC Raulston Arboretum at NC State maintains diverse plant collections and educational gardens that provide opportunities to study plant-pollinator relationships.,FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
North Carolina Botanical Garden,"Raleigh, NC",27617,ncbg.unc.edu,"Native Plants, Pollinator Habitat, Conservation, Environmental Education","The North Carolina Botanical Garden in the Triangle conserves native plants and habitats and offers educational programs that support bees, butterflies, and other pollinators.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
North Carolina Native Plant Society,"Raleigh, NC",27617,ncwildflower.org,"Native Plants, Pollinator Habitat, Conservation, Environmental Education","North Carolina Native Plant Society provides regional plant guidance, educational events, and conservation resources for creating wildlife- and pollinator-friendly landscapes.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
North Carolina State Beekeepers Association,"Raleigh, NC",27617,ncbeekeepers.org,"Beekeeping, Environmental Education","The North Carolina State Beekeepers Association supports local bee schools, certification, research, and practical education for beekeepers throughout the Raleigh region and state.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Triangle Land Conservancy,"Raleigh, NC",27617,triangleland.org,"Pollinator Habitat, Habitat Restoration, Conservation","Triangle Land Conservancy protects natural areas and working lands around Raleigh, preserving and restoring habitat used by native bees, butterflies, and other wildlife.",FALSE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Wake County Extension Master Gardener Volunteers,"Raleigh, NC",27617,wake.ces.ncsu.edu,"Cooperative Extension, Native Plants, Environmental Education, Gardening & Agriculture","Wake County Master Gardener volunteers provide research-based gardening advice and community education on native plants, pollinator habitat, and sustainable landscapes.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Crosby County,"Ralls, TX",79357,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Crosby County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Crosby County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Utah State University Extension — Rich County,"Randolph, UT",84064,extension.usu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Utah State University Extension — Rich County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Rich County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
SDSU Extension — Pennington County,"Rapid City, SD",57702,extension.sdstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","SDSU Extension — Pennington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pennington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
NMSU Cooperative Extension Service — Colfax County,"Raton, NM",87740,aces.nmsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","NMSU Cooperative Extension Service — Colfax County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Colfax County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WVU Extension — Jackson County,"Ravenswood, WV",26164,extension.wvu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WVU Extension — Jackson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Jackson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Wyoming Extension — Carbon County,"Rawlins, WY",82301,uwyo.edu/uwe,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Wyoming Extension — Carbon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carbon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WSU Extension — Pacific County,"Raymond, WA",98577,extension.wsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WSU Extension — Pacific County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Pacific County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Willacy County,"Raymondville, TX",78580,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Willacy County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Willacy County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
LSU AgCenter Cooperative Extension — Richland Parish,"Rayville, LA",71269,lsuagcenter.com,"Cooperative Extension, Environmental Education, Gardening & Agriculture","LSU AgCenter Cooperative Extension — Richland Parish provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Richland Parish.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Penn State Extension — Berks County,"Reading, PA",19604,extension.psu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Penn State Extension — Berks County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Berks County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UC Cooperative Extension — Tehama County,"Red Bluff, CA",96080,ucanr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UC Cooperative Extension — Tehama County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Tehama County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Nebraska Extension — Webster County,"Red Cloud, NE",68970,extension.unl.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Nebraska Extension — Webster County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Webster County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Red Lake County,"Red Lake Falls, MN",56750,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Red Lake County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Red Lake County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Montana State University Extension — Carbon County,"Red Lodge, MT",59068,montana.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Montana State University Extension — Carbon County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Carbon County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Iowa State University Extension and Outreach — Montgomery County,"Red Oak, IA",51566,extension.iastate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Iowa State University Extension and Outreach — Montgomery County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Montgomery County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Goodhue County,"Red Wing, MN",55089,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Goodhue County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Goodhue County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
UC Cooperative Extension — Shasta County,"Redding, CA",96002,ucanr.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UC Cooperative Extension — Shasta County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Shasta County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
